t # 0
v 0 5
v 1 1
v 2 9
v 3 9
v 4 9
v 5 5
v 6 8
v 7 3
v 8 6
v 9 3
v 10 6
v 11 3
v 12 0
v 13 0
v 14 2
v 15 7
v 16 9
v 17 3
v 18 9
v 19 8
v 20 2
v 21 9
v 22 1
v 23 3
v 24 6
v 25 9
v 26 1
v 27 3
v 28 0
v 29 4
e 0 1 4
e 1 17 7
e 1 2 3
e 1 0 4
e 2 3 9
e 2 1 3
e 2 12 2
e 3 20 7
e 3 2 9
e 3 4 1
e 4 5 5
e 4 3 1
e 4 12 6
e 5 6 2
e 5 25 3
e 5 4 5
e 6 26 5
e 6 5 2
e 6 18 6
e 6 7 3
e 7 6 3
e 7 8 0
e 7 11 8
e 8 28 1
e 8 7 0
e 8 9 2
e 9 10 6
e 9 15 0
e 9 8 2
e 10 11 6
e 10 9 6
e 11 10 6
e 11 7 8
e 11 12 7
e 12 13 2
e 12 2 2
e 12 4 6
e 12 11 7
e 13 14 4
e 13 12 2
e 14 13 4
e 14 15 2
e 15 14 2
e 15 9 0
e 15 16 6
e 16 17 8
e 16 15 6
e 16 25 6
e 16 18 4
e 17 18 9
e 17 1 7
e 17 16 8
e 18 17 9
e 18 19 8
e 18 6 6
e 18 20 5
e 18 16 4
e 19 20 0
e 19 18 8
e 20 21 8
e 20 19 0
e 20 18 5
e 20 3 7
e 21 20 8
e 21 22 3
e 22 23 6
e 22 21 3
e 23 22 6
e 23 24 0
e 24 23 0
e 24 25 6
e 25 26 7
e 25 5 3
e 25 24 6
e 25 16 6
e 26 28 1
e 26 6 5
e 26 27 9
e 26 25 7
e 27 28 4
e 27 26 9
e 28 29 3
e 28 26 1
e 28 27 4
e 28 8 1
e 29 28 3
t # 1
v 0 8
v 1 5
v 2 5
v 3 0
v 4 5
v 5 0
v 6 0
v 7 1
v 8 0
v 9 5
v 10 5
v 11 7
v 12 6
v 13 5
v 14 2
v 15 8
v 16 3
v 17 2
v 18 7
v 19 4
v 20 8
v 21 1
v 22 3
v 23 8
v 24 9
v 25 2
v 26 1
v 27 3
v 28 9
v 29 1
e 0 1 4
e 1 2 9
e 1 0 4
e 2 1 9
e 2 3 1
e 3 4 8
e 3 2 1
e 4 26 4
e 4 3 8
e 4 5 7
e 5 4 7
e 5 22 3
e 5 6 5
e 6 23 6
e 6 5 5
e 6 7 0
e 7 6 0
e 7 8 2
e 8 9 3
e 8 7 2
e 9 18 7
e 9 10 7
e 9 8 3
e 10 18 9
e 10 9 7
e 10 11 2
e 11 10 2
e 11 12 6
e 12 13 8
e 12 15 8
e 12 25 1
e 12 11 6
e 13 14 6
e 13 12 8
e 14 13 6
e 14 15 1
e 15 16 9
e 15 14 1
e 15 12 8
e 16 17 4
e 16 15 9
e 16 20 0
e 17 16 4
e 17 18 7
e 18 17 7
e 18 19 6
e 18 9 7
e 18 10 9
e 19 18 6
e 19 20 2
e 20 16 0
e 20 21 2
e 20 19 2
e 21 22 6
e 21 20 2
e 21 27 4
e 22 23 8
e 22 5 3
e 22 21 6
e 23 22 8
e 23 6 6
e 23 24 8
e 24 23 8
e 24 25 9
e 25 26 5
e 25 24 9
e 25 12 1
e 26 4 4
e 26 25 5
e 26 27 7
e 27 26 7
e 27 28 8
e 27 21 4
e 28 29 5
e 28 27 8
e 29 28 5
t # 2
v 0 0
v 1 2
v 2 1
v 3 3
v 4 4
v 5 2
v 6 4
v 7 9
v 8 1
v 9 8
v 10 0
v 11 6
v 12 2
v 13 4
v 14 1
v 15 7
v 16 5
v 17 6
v 18 7
v 19 5
v 20 6
v 21 8
v 22 4
v 23 4
v 24 4
v 25 2
v 26 2
v 27 2
v 28 8
v 29 4
e 0 1 2
e 1 24 2
e 1 0 2
e 1 2 7
e 2 3 6
e 2 1 7
e 3 7 2
e 3 2 6
e 3 4 1
e 4 5 1
e 4 3 1
e 5 6 2
e 5 4 1
e 6 5 2
e 6 7 1
e 7 3 2
e 7 8 1
e 7 6 1
e 8 7 1
e 8 9 3
e 8 15 1
e 9 8 3
e 9 10 6
e 10 11 0
e 10 9 6
e 11 10 0
e 11 12 7
e 12 11 7
e 12 13 5
e 13 14 3
e 13 12 5
e 14 13 3
e 14 15 4
e 15 14 4
e 15 16 0
e 15 8 1
e 16 17 8
e 16 15 0
e 17 16 8
e 17 18 6
e 18 17 6
e 18 19 0
e 19 18 0
e 19 20 8
e 20 19 8
e 20 21 7
e 21 22 7
e 21 20 7
e 22 23 3
e 22 21 7
e 23 22 3
e 23 24 3
e 24 23 3
e 24 1 2
e 24 25 6
e 25 26 5
e 25 24 6
e 26 27 3
e 26 25 5
e 27 26 3
e 27 28 3
e 28 29 0
e 28 27 3
e 29 28 0
t # 3
v 0 0
v 1 8
v 2 8
v 3 7
v 4 9
v 5 5
v 6 5
v 7 5
v 8 8
v 9 3
v 10 8
v 11 3
v 12 2
v 13 7
v 14 0
v 15 3
v 16 4
v 17 3
v 18 2
v 19 7
v 20 9
v 21 3
v 22 7
v 23 5
v 24 5
v 25 6
v 26 5
v 27 8
v 28 6
v 29 1
e 0 1 9
e 1 2 4
e 1 5 6
e 1 0 9
e 2 19 2
e 2 1 4
e 2 3 5
e 3 2 5
e 3 4 4
e 4 5 4
e 4 3 4
e 5 6 7
e 5 1 6
e 5 4 4
e 6 7 4
e 6 5 7
e 7 6 4
e 7 8 3
e 8 7 3
e 8 9 2
e 9 10 3
e 9 8 2
e 10 9 3
e 10 11 1
e 11 12 9
e 11 10 1
e 12 11 9
e 12 13 0
e 13 12 0
e 13 14 1
e 14 15 4
e 14 13 1
e 15 16 2
e 15 14 4
e 16 15 2
e 16 17 4
e 17 18 5
e 17 16 4
e 18 19 0
e 18 17 5
e 19 2 2
e 19 18 0
e 19 20 0
e 20 21 3
e 20 19 0
e 21 22 1
e 21 20 3
e 22 23 8
e 22 21 1
e 23 24 0
e 23 22 8
e 24 23 0
e 24 25 5
e 25 26 3
e 25 24 5
e 26 27 4
e 26 25 3
e 27 26 4
e 27 28 3
