t # 0
v 0 5
v 1 9
v 2 5
v 3 5
v 4 5
v 5 4
v 6 7
v 7 7
v 8 0
v 9 4
v 10 4
v 11 8
v 12 9
v 13 6
v 14 2
v 15 8
v 16 5
v 17 6
v 18 7
v 19 3
v 20 9
v 21 4
v 22 8
v 23 9
v 24 1
v 25 8
v 26 0
v 27 4
v 28 9
v 29 7
v 30 3
v 31 3
v 32 1
v 33 8
v 34 8
v 35 9
v 36 2
v 37 3
v 38 6
v 39 3
v 40 0
v 41 8
v 42 3
v 43 1
v 44 6
v 45 0
v 46 5
v 47 8
v 48 4
v 49 3
v 50 7
v 51 9
v 52 3
v 53 2
v 54 7
v 55 0
v 56 4
v 57 4
v 58 2
v 59 9
v 60 5
v 61 9
v 62 5
v 63 7
v 64 5
v 65 4
v 66 9
v 67 0
v 68 4
v 69 7
v 70 1
v 71 5
v 72 8
v 73 7
v 74 5
v 75 6
v 76 3
v 77 7
v 78 4
v 79 0
v 80 3
v 81 9
v 82 6
v 83 3
v 84 9
v 85 7
v 86 1
v 87 1
v 88 8
v 89 3
v 90 5
v 91 1
v 92 5
v 93 6
v 94 2
v 95 8
v 96 4
v 97 2
v 98 3
v 99 8
v 100 2
v 101 7
v 102 6
v 103 1
v 104 9
v 105 8
v 106 5
v 107 3
v 108 7
v 109 7
v 110 5
v 111 1
v 112 7
v 113 7
v 114 3
v 115 3
v 116 9
v 117 7
v 118 2
v 119 6
v 120 4
v 121 1
v 122 7
v 123 9
v 124 8
v 125 6
v 126 8
v 127 5
v 128 5
v 129 9
v 130 3
v 131 6
v 132 0
v 133 2
v 134 8
v 135 8
v 136 5
v 137 1
v 138 7
v 139 1
v 140 7
v 141 1
v 142 2
v 143 6
v 144 1
v 145 6
v 146 7
v 147 2
v 148 2
v 149 1
v 150 3
v 151 0
v 152 2
v 153 8
v 154 9
v 155 7
v 156 6
v 157 4
v 158 2
v 159 7
v 160 6
v 161 1
v 162 7
v 163 7
v 164 4
v 165 7
v 166 6
v 167 6
v 168 5
