t # 0
v 0 2
v 1 2
v 2 0
v 3 1
v 4 4
v 5 0
v 6 2
v 7 4
v 8 4
v 9 2
v 10 3
v 11 4
v 12 4
v 13 3
v 14 0
v 15 1
v 16 2
v 17 2
v 18 0
v 19 1
e 0 2 0
e 0 3 3
e 0 4 2
e 0 5 4
e 1 4 1
e 2 3 4
e 4 5 2
e 5 12 2
e 5 13 4
e 5 15 2
e 5 16 1
e 5 18 4
e 6 9 2
e 6 12 3
e 7 15 1
e 8 9 0
e 8 10 1
e 8 14 4
e 8 18 2
e 9 10 2
e 9 18 4
e 9 19 4
e 10 11 2
e 10 15 3
e 10 17 3
e 11 12 2
e 11 13 4
e 11 14 1
e 11 18 0
e 12 13 1
e 13 19 4
e 15 18 0
e 17 18 4
e 18 19 0
t # 1
v 0 0 
v 1 2 
v 2 2 
v 3 1 
v 4 4 
v 5 0 
v 6 1 
v 7 0 
v 8 1 
v 9 4 
v 10 2 
v 11 0 
v 12 0 
v 13 4 
v 14 2 
v 15 4 
v 16 4 
v 17 4 
v 18 1 
v 19 1 
e 0 1 3
e 0 3 3
e 0 5 0
e 0 9 2
e 0 10 3
e 0 15 4
e 0 16 2
e 0 19 3
e 1 4 1
e 1 5 2
e 1 8 1
e 1 9 2
e 1 11 2
e 1 12 1
e 1 13 3
e 1 15 2
e 1 16 4
e 2 7 0
e 2 16 1
e 2 19 4
e 3 9 1
e 3 11 0
e 3 17 3
e 4 6 0
e 4 7 1
e 4 8 4
e 4 13 1
e 4 14 2
e 4 15 2
e 4 16 3
e 4 18 2
e 5 12 3
e 5 15 3
e 5 18 3
e 6 12 1
e 6 13 1
e 6 14 3
e 6 15 3
e 6 16 4
e 6 18 3
e 7 10 0
e 8 10 4
e 8 11 1
e 8 13 4
e 8 14 2
e 8 15 3
e 8 16 1
e 9 13 0
e 9 16 1
e 9 17 4
e 9 19 4
e 10 14 2
e 10 19 4
e 11 13 0
e 11 14 2
e 11 15 2
e 11 17 3
e 12 14 4
e 12 15 1
e 12 16 1
e 12 19 2
e 13 14 0
e 13 16 3
e 13 17 4
e 14 17 0
e 14 19 0
e 15 16 1
e 16 17 2
e 16 19 4
e 17 19 3
e 18 19 1
t # 2
v 0 0 
v 1 4 
v 2 0 
v 3 2 
v 4 0 
v 5 1 
v 6 0 
v 7 4 
v 8 3 
v 9 4 
v 10 3 
v 11 2 
v 12 4 
v 13 0 
v 14 0 
v 15 2 
v 16 4 
v 17 3 
v 18 3 
v 19 4 
e 0 9 0
e 1 9 2
e 1 13 0
e 3 9 1
e 4 10 3
e 5 9 0
e 6 11 1
e 10 11 2
e 11 16 3
e 18 19 1
t # 3
v 0 3 
v 1 1 
v 2 3 
v 3 0 
v 4 3 
v 5 0 
v 6 1 
v 7 4 
v 8 4 
v 9 3 
v 10 0 
v 11 4 
v 12 3 
v 13 3 
v 14 2 
v 15 0 
v 16 2 
v 17 3 
v 18 1 
v 19 4 
e 0 8 3
e 0 10 3
e 0 17 1
e 1 6 2
e 1 8 0
e 1 9 3
e 1 10 3
e 1 12 2
e 1 14 1
e 1 16 4
e 2 3 2
e 2 6 0
e 2 8 0
e 2 16 1
e 2 19 4
e 3 4 4
e 3 6 3
e 3 9 4
e 3 12 0
e 3 14 0
e 3 19 2
e 4 7 4
e 4 8 0
e 4 12 4
e 4 13 0
e 4 16 4
e 4 17 4
e 4 19 4
e 5 8 1
e 6 9 3
e 6 15 2
e 7 18 0
e 7 19 0
e 8 11 3
e 8 16 3
e 8 18 0
e 8 19 1
e 9 12 0
e 9 14 0
e 9 15 4
e 9 19 4
e 10 11 4
e 10 12 0
e 10 14 4
e 10 16 2
e 11 13 0
e 11 15 4
e 12 15 4
e 13 16 4
e 13 18 3
e 14 15 1
e 14 19 1
e 15 16 1
t # 4
v 0 1 
v 1 2 
v 2 3 
v 3 3 
v 4 2 
v 5 1 
v 6 4 
v 7 1 
v 8 0 
v 9 2 
v 10 3 
v 11 2 
v 12 2 
v 13 3 
v 14 4 
v 15 0 
v 16 4 
v 17 4 
v 18 2 
v 19 1 
e 3 15 2
e 6 13 3
